feedback_id,course_id,professor_id,semester,rating_clarity,rating_workload,rating_interaction,rating_attendance_strictness,rating_assignments,overall_rating,course_organization,comment
53,53,75,2023A,2,3,10,10,6,5,2,
54,29,58,2025A,6,10,6,6,4,6,7,
55,2,19,2024B,9,6,2,1,5,6,6,
56,49,61,2023A,7,2,2,7,6,6,10,
57,97,45,2023B,8,8,4,7,9,6,5,
58,33,41,2024B,9,6,7,6,3,6,4,
59,25,57,2025A,6,1,10,7,2,6,8,
60,50,66,2024B,5,4,9,3,9,7,4,
61,90,76,2025A,4,3,6,3,5,5,6,
62,13,10,2024B,5,10,7,8,7,7,10,
63,26,47,2025A,6,1,2,1,6,4,4,
64,92,55,2023B,7,5,5,6,4,5,5,
65,45,77,2023B,8,4,7,8,10,8,8,
66,85,58,2024A,4,8,8,3,4,6,8,
67,77,79,2024B,3,2,10,7,3,6,6,
68,11,18,2025A,8,1,2,6,4,4,4,
69,66,66,2023A,3,5,10,3,5,7,10,
70,66,33,2023A,9,5,3,2,7,7,8,
71,2,57,2023A,10,8,10,6,8,8,4,
72,19,6,2024B,6,4,10,8,5,7,6,
73,85,31,2024A,4,2,3,9,10,5,4,
74,92,43,2024B,10,4,10,7,8,10,10,
75,103,78,2024A,4,3,8,2,10,8,8,
76,15,7,2025A,3,4,8,6,9,7,8,
77,88,37,2023B,9,3,8,5,10,7,2,
78,116,64,2025A,2,7,2,8,3,3,6,
79,77,43,2025A,6,9,7,8,6,7,10,
80,91,29,2024B,9,7,7,9,5,6,2,
81,87,65,2024B,10,3,5,2,2,5,2,
82,66,18,2023B,10,4,10,1,2,8,10,
83,83,57,2025A,5,1,10,2,5,6,3,
84,68,53,2023B,3,3,3,2,2,3,3,
85,119,51,2025A,4,3,5,3,3,4,2,
86,18,71,2025A,7,8,5,1,8,7,8,
87,87,38,2024A,4,9,9,10,4,5,2,
88,119,55,2025A,8,9,2,6,10,8,10,
89,63,6,2025A,3,1,8,9,5,6,9,
90,93,40,2025A,3,8,3,7,3,3,3,
91,4,35,2025A,3,2,9,10,2,5,6,
92,88,52,2023B,4,2,5,10,2,4,5,
93,45,37,2023B,3,7,10,9,5,6,6,
94,2,3,2024B,6,1,6,4,3,6,8,
95,97,72,2023B,6,3,4,7,7,7,10,
96,66,69,2024B,9,6,3,1,4,6,10,
97,52,53,2023B,3,10,2,4,9,6,8,
98,85,6,2025A,7,3,10,8,5,6,4,
99,24,79,2025A,3,4,7,6,7,6,6,
100,17,21,2023B,8,9,4,2,8,7,9,
101,88,30,2024A,8,5,2,2,5,6,9,
102,62,1,2023B,9,5,7,2,10,9,9,
103,12,29,2024A,10,4,3,9,6,6,5,
104,25,14,2025A,2,9,4,5,4,4,5,
105,82,50,2025A,8,3,10,10,3,6,2,
106,117,60,2024B,7,10,5,8,8,6,3,
107,58,47,2024B,5,1,5,9,9,6,3,
108,89,72,2023A,2,6,10,3,8,6,5,
109,107,22,2023B,6,5,5,1,6,5,3,
110,47,6,2024B,8,3,10,3,7,7,3,
111,42,39,2023A,7,5,6,10,6,7,10,
112,50,6,2023B,10,8,8,10,9,9,8,
113,30,14,2025A,6,7,5,8,3,5,7,
114,109,6,2024A,10,5,6,1,2,6,4,
115,62,26,2024B,6,5,7,7,2,5,6,
116,63,33,2023A,6,1,8,4,10,8,9,
117,68,59,2024A,7,9,3,10,6,6,6,
118,49,48,2024B,6,1,7,7,6,7,9,
119,89,50,2024B,3,6,3,8,8,5,6,
120,108,76,2023A,6,1,5,1,3,5,5,
121,110,15,2024A,3,3,3,6,5,5,8,
122,66,55,2025A,6,2,4,3,2,6,10,
123,116,61,2024A,7,3,9,9,3,6,6,
124,49,10,2025A,6,7,2,9,9,6,9,
125,13,41,2025A,2,4,8,10,3,6,10,
126,17,69,2023A,2,2,9,1,10,6,3,
127,80,71,2025A,6,7,6,9,9,6,5,
128,85,6,2025A,6,2,9,7,8,7,4,
129,66,65,2025A,10,10,10,3,7,8,5,
130,111,5,2023B,5,1,8,3,8,7,8,
131,73,65,2023B,3,8,4,4,8,6,8,
132,77,67,2024B,5,2,4,2,4,4,4,
133,20,13,2024A,9,4,3,2,5,5,4,
134,49,42,2023B,10,8,9,1,2,6,3,
135,88,46,2025A,10,2,3,3,7,6,3,
136,7,38,2023B,7,3,4,7,3,6,8,
137,99,72,2024B,9,6,9,10,10,8,5,
138,61,33,2024B,8,9,9,10,4,8,10,
139,20,68,2024A,5,5,10,9,6,7,8,
140,47,80,2024B,9,9,7,4,10,8,5,
141,117,64,2024B,9,3,6,10,6,6,5,
142,16,70,2025A,10,4,9,10,8,8,4,
143,26,48,2024A,7,3,10,3,6,8,10,
144,8,29,2023B,4,6,10,8,7,7,7,
145,117,32,2025A,10,3,10,9,2,6,3,
146,45,54,2023A,7,6,6,2,7,6,6,
147,2,28,2023B,9,8,3,5,5,5,4,
148,21,71,2023A,7,1,10,2,6,7,4,
149,80,25,2024B,4,8,5,4,9,7,10,
150,51,78,2023B,6,4,6,4,8,7,7,
151,3,47,2023B,3,7,8,1,4,6,10,
152,10,62,2024B,10,6,3,8,2,5,4,
153,95,7,2025A,3,1,7,5,2,5,8,
154,23,30,2023B,8,2,5,3,4,5,3,
155,100,3,2024B,9,1,8,4,2,7,9,
156,40,51,2023A,3,7,6,10,7,4,2,
157,56,66,2023B,4,6,5,10,3,4,5,
158,55,27,2024B,7,2,10,5,6,7,6,
159,51,57,2025A,5,9,4,2,2,4,5,
160,29,38,2023A,5,6,6,6,9,7,7,
161,91,11,2025A,10,9,5,4,7,8,8,
162,15,79,2024B,3,10,6,9,5,6,10,
163,10,16,2024A,9,6,8,9,5,7,5,
164,25,56,2024A,5,5,6,2,4,5,4,
165,66,52,2023B,8,1,7,6,4,6,7,
166,54,41,2024B,9,4,6,4,9,7,3,
167,10,79,2024B,9,2,4,3,2,6,8,
168,92,10,2025A,6,4,9,6,2,6,7,
169,18,73,2023B,7,10,8,1,3,7,9,
170,18,74,2023B,7,5,6,6,4,5,3,
171,10,31,2024B,10,9,4,2,4,5,2,
172,80,33,2023A,10,10,2,7,10,7,5,
173,105,34,2024A,2,8,9,9,2,5,7,
174,7,74,2023A,6,5,10,6,8,8,6,
175,74,10,2024A,3,6,7,1,5,6,10,
176,111,21,2023A,2,2,5,3,2,3,3,
177,102,55,2024A,4,8,2,9,8,6,10,
178,50,46,2025A,9,10,9,7,4,6,3,
179,105,3,2024B,5,4,10,5,10,8,9,
180,16,4,2023A,7,2,6,5,3,5,3,
181,106,53,2023B,10,4,6,4,8,7,4,
182,72,69,2023A,6,8,3,9,4,6,9,
183,120,72,2023A,9,4,4,7,7,6,4,
184,91,18,2024A,4,3,10,2,3,7,10,
185,100,1,2024A,3,8,4,2,10,5,2,
186,20,49,2025A,7,10,3,5,9,6,5,
187,51,6,2024B,7,8,4,10,4,5,5,
188,76,79,2025A,4,1,4,7,5,4,2,
189,115,14,2024B,2,10,2,1,6,4,4,
190,7,44,2025A,9,3,8,3,10,9,8,
191,67,28,2023B,2,4,2,8,10,6,8,
192,14,8,2023A,5,7,7,8,8,6,5,
193,25,80,2023A,7,1,6,4,10,7,5,
194,64,27,2023B,2,6,9,6,7,5,2,
195,40,30,2023B,4,5,7,2,6,5,3,
196,89,9,2024B,2,7,9,8,6,6,6,
197,3,67,2025A,10,10,3,8,2,6,10,
198,32,17,2023B,9,7,4,2,7,6,6,
199,60,26,2023B,8,1,6,5,9,8,10,
200,108,16,2024A,7,7,7,7,2,6,10,
201,109,65,2024A,4,3,2,7,3,4,8,
202,76,57,2024B,5,5,2,6,3,5,9,
203,14,40,2023A,2,8,10,2,3,6,10,
204,36,26,2023A,3,9,3,6,7,5,7,
205,46,68,2023B,9,10,6,10,9,8,8,
206,4,24,2024A,9,8,7,7,9,8,7,
207,39,45,2024A,7,2,6,1,10,6,3,
208,67,18,2025A,7,7,3,7,6,6,7,
209,55,48,2023A,3,3,10,1,3,6,7,
210,7,29,2025A,7,2,6,1,4,5,2,
211,56,5,2023A,9,9,4,9,4,6,8,
212,61,49,2025A,6,7,6,8,7,7,10,
213,110,6,2024B,6,6,3,1,6,5,4,
214,7,53,2023B,7,8,9,8,7,7,5,
215,8,77,2024A,7,2,5,7,3,6,9,
216,3,42,2024B,4,5,9,5,4,6,9,
217,90,42,2024A,5,4,5,7,3,4,4,
218,85,19,2024B,3,3,5,1,4,5,9,
219,7,13,2024A,2,4,9,8,8,6,3,
220,40,28,2023A,6,5,7,1,8,8,9,
221,24,26,2025A,7,5,6,3,7,6,2,
222,61,54,2024B,5,10,9,7,8,6,4,
223,18,35,2025A,3,1,8,2,10,7,8,
224,7,19,2024A,7,8,2,1,9,6,5,
225,4,24,2025A,6,2,7,7,2,4,2,
226,72,67,2024B,9,10,2,8,6,6,5,
227,29,38,2023A,9,5,2,8,8,5,2,
228,109,22,2024A,5,9,2,9,4,3,2,
229,119,51,2025A,3,7,3,6,7,5,8,
230,70,25,2025A,4,6,10,6,7,6,4,
231,39,4,2024A,5,4,3,4,3,4,3,
232,116,64,2024B,2,10,2,10,2,3,5,
233,102,10,2025A,10,3,8,8,9,8,3,
234,103,59,2024A,8,7,7,3,10,8,6,
235,96,10,2025A,3,5,9,10,3,4,2,
236,120,45,2023B,2,3,10,3,6,6,7,
237,11,63,2023B,6,3,5,10,3,4,3,
238,106,15,2024B,6,1,9,7,8,8,9,
239,110,80,2025A,10,9,9,3,9,8,5,
240,78,12,2023A,3,4,5,8,5,6,10,
241,107,2,2023B,9,9,2,8,7,6,8,
242,15,46,2023A,3,5,7,7,7,5,2,
243,45,74,2023B,4,3,4,3,7,5,6,
244,6,21,2023B,3,2,5,3,10,6,7,
245,116,27,2025A,7,8,5,5,4,6,8,
246,75,57,2023B,10,9,2,10,9,8,9,
247,78,14,2023A,5,10,5,5,10,6,6,
248,69,61,2024A,4,6,10,7,10,8,6,
249,85,5,2024A,2,2,9,3,9,6,5,
250,6,21,2025A,2,5,8,9,9,7,9,
251,104,4,2023A,7,9,8,9,9,6,2,
252,102,9,2025A,3,5,4,9,4,4,3,
253,16,22,2023A,3,3,5,9,7,5,5,
254,91,47,2023A,9,8,4,4,4,5,4,
255,11,41,2024B,6,6,3,10,5,4,2,
256,79,50,2024B,6,3,4,8,4,5,6,
257,46,51,2023B,10,7,7,10,8,8,9,
258,89,33,2023A,8,9,2,9,4,4,4,
259,32,42,2024B,3,7,9,3,8,6,2,
260,72,3,2024A,4,2,6,1,2,4,3,
261,3,68,2024A,8,1,5,3,8,6,5,
262,82,50,2023B,9,1,9,7,9,8,5,
263,6,34,2024B,10,1,5,5,10,7,3,
264,19,55,2025A,8,6,3,3,6,5,2,
265,19,12,2023B,2,5,10,8,2,5,5,
266,81,77,2023B,2,4,8,2,9,7,8,
267,16,48,2024B,7,6,2,2,3,5,8,
268,110,24,2024A,9,7,9,4,9,9,8,
269,52,73,2023A,10,7,7,7,2,7,10,
270,21,34,2025A,2,6,10,4,6,6,7,
271,68,19,2025A,9,2,7,6,10,8,7,
272,113,60,2023A,6,1,4,5,6,5,3,
273,48,61,2025A,9,5,8,1,8,8,9,
274,68,22,2024A,9,10,9,5,3,7,8,
275,119,21,2023A,10,8,6,8,10,9,10,
276,16,74,2024B,6,5,10,10,4,6,2,
277,89,36,2024B,6,9,3,1,2,4,4,
278,60,34,2023A,5,4,4,4,7,5,5,
279,75,26,2024A,5,8,7,8,9,6,5,
280,16,39,2024A,4,4,4,4,9,5,3,
281,66,61,2023A,3,1,10,7,7,7,7,
282,54,58,2024A,8,5,10,7,4,6,4,
283,115,54,2023A,8,1,10,10,5,7,4,
284,97,36,2024B,2,6,3,9,4,3,3,
285,74,25,2023A,3,5,8,7,2,6,9,
286,29,67,2024B,3,6,3,7,10,6,7,
287,56,53,2024B,4,9,9,9,8,6,3,
288,107,57,2024B,7,2,4,2,9,7,9,
289,120,67,2023B,4,7,5,7,9,7,9,
290,86,64,2023A,2,6,2,8,3,4,8,
291,31,63,2024A,4,10,10,8,3,6,7,
292,82,52,2025A,9,10,5,9,7,7,7,
293,23,70,2023B,5,1,5,4,5,5,6,
294,80,45,2023B,8,6,4,4,6,7,9,
295,53,56,2024B,2,2,2,7,4,3,3,
296,61,53,2024A,9,3,10,9,7,8,8,
297,107,30,2025A,7,10,7,9,3,6,7,
298,101,29,2025A,8,3,5,4,9,7,6,
299,69,72,2024B,3,3,9,6,10,8,9,
300,29,72,2023B,9,1,7,8,9,8,5,
301,40,46,2023B,4,1,8,7,7,5,2,
302,55,69,2023A,10,7,9,6,6,7,4,
303,25,46,2024A,2,4,9,7,9,6,2,
304,21,22,2024B,5,10,10,2,2,6,7,
305,14,7,2024A,10,3,8,10,6,6,2,
306,119,40,2025A,3,7,8,6,6,5,3,
307,8,47,2023A,3,4,7,8,5,5,4,
308,70,17,2023B,8,3,2,1,4,5,6,
309,84,50,2023A,4,9,7,7,5,5,4,
310,108,54,2024B,7,2,9,2,6,6,3,
311,31,58,2023B,10,5,3,9,4,5,4,
312,81,33,2024B,6,2,3,8,7,5,4,
313,6,41,2024B,10,8,10,7,2,6,2,
314,38,78,2025A,9,8,9,4,9,9,9,
315,73,19,2024B,10,6,5,4,4,5,2,
316,35,35,2024B,2,3,8,8,9,7,10,
317,68,51,2024B,2,6,4,3,7,4,2,
318,22,14,2025A,2,6,2,2,8,5,8,
319,114,76,2024A,5,7,7,9,6,6,4,
320,27,8,2024A,4,1,10,5,5,6,3,
321,103,69,2023B,5,7,5,5,3,4,5,
322,76,54,2023A,2,7,6,1,2,5,9,
323,51,5,2024B,8,7,5,7,3,5,5,
324,55,43,2024A,7,4,8,10,10,7,3,
325,114,10,2023B,3,9,7,2,4,6,10,
326,118,27,2024B,7,2,8,5,9,7,5,
327,47,54,2023A,7,8,7,1,4,5,3,
328,113,56,2023A,10,10,6,10,5,7,7,
329,61,34,2023B,10,7,7,9,6,6,2,
330,101,40,2024A,9,2,6,5,8,8,7,
331,114,22,2023A,10,2,2,4,8,6,3,
332,116,39,2024A,7,9,2,6,7,6,7,
333,97,20,2023B,10,9,6,1,2,6,4,
334,107,14,2024B,7,1,5,9,7,6,6,
335,109,54,2023A,2,6,8,1,5,4,2,
336,25,10,2024A,3,2,7,1,4,6,9,
337,26,23,2025A,7,8,7,9,4,7,10,
338,35,74,2023B,2,6,5,3,6,5,6,
339,103,63,2024B,4,2,6,9,4,5,5,
340,68,60,2023A,6,5,7,8,7,7,8,
341,34,8,2024A,7,10,5,2,8,6,3,
342,16,21,2023B,9,2,2,7,7,6,6,
343,85,21,2024B,8,6,2,8,8,6,4,
344,110,29,2024B,9,2,6,9,7,8,8,
345,67,5,2023B,9,6,8,5,4,7,7,
346,89,67,2023A,8,1,9,5,5,6,2,
347,57,52,2024B,3,4,5,5,7,6,10,
348,44,53,2024A,10,8,4,2,3,7,10,
349,93,32,2023B,8,1,2,2,4,6,10,
350,42,1,2023B,4,3,5,2,5,6,10,
351,90,1,2023A,10,2,5,10,8,7,4,
352,102,16,2023B,10,8,6,3,5,6,3,
353,79,63,2023A,7,2,2,7,3,4,6,
354,97,10,2023B,10,6,7,2,2,7,10,
355,106,34,2024A,2,8,6,8,2,4,6,
356,17,35,2023A,2,10,9,1,4,6,8,
357,92,3,2024B,9,7,7,3,3,6,4,
358,17,53,2023B,3,6,2,4,4,4,5,
359,61,47,2024B,5,7,9,4,4,5,3,
360,107,50,2023A,6,5,8,3,6,6,4,
361,14,4,2024B,8,7,4,10,10,7,7,
362,4,73,2024B,7,3,10,10,10,8,3,
363,59,28,2024A,3,5,3,7,4,3,2,
364,81,21,2023B,6,2,7,6,7,6,6,
365,3,39,2025A,10,5,4,5,2,6,9,
366,77,69,2023A,5,10,10,2,9,8,10,
367,27,5,2023B,4,8,9,3,3,6,7,
368,105,16,2023B,9,2,2,8,5,5,5,
369,57,20,2024A,10,3,10,9,7,8,5,
370,46,7,2025A,4,9,6,1,4,6,8,
371,85,29,2023B,8,9,8,2,8,8,10,
372,52,45,2023A,5,9,4,1,8,6,9,
373,113,15,2024B,5,1,6,1,4,5,5,
374,47,35,2024A,3,6,4,10,10,6,7,
375,21,57,2023B,2,1,2,2,7,3,2,
376,58,48,2023B,6,6,9,4,2,5,2,
377,82,45,2024A,10,7,7,10,2,6,5,
378,15,26,2024B,9,7,4,3,2,6,10,
379,22,68,2024B,10,2,7,1,5,8,9,
380,46,57,2025A,2,4,9,4,2,5,8,
381,114,2,2024B,10,10,4,10,7,6,3,
382,25,39,2023B,3,2,8,10,6,6,7,
383,86,74,2025A,7,9,10,1,4,6,4,
384,66,29,2024A,6,10,4,1,2,6,10,
385,96,76,2023A,4,2,4,8,5,4,2,
386,117,64,2023B,7,6,6,10,4,6,7,
387,17,43,2023B,5,5,10,2,8,6,3,
388,71,62,2023A,8,2,8,1,6,8,10,
389,84,43,2024A,2,8,4,10,7,4,4,
390,105,10,2024A,10,1,10,7,3,8,10,
391,108,65,2023B,3,6,9,1,9,6,3,
392,17,75,2023A,9,5,2,8,10,7,8,
393,40,60,2023A,10,10,6,8,9,7,2,
394,119,35,2023A,6,1,8,7,2,5,5,
395,20,42,2023B,3,7,7,3,4,4,2,
396,48,78,2023B,2,6,4,1,5,4,6,
397,26,33,2025A,7,2,10,10,6,8,7,
398,110,38,2023A,6,10,4,8,10,6,3,
399,30,2,2024B,3,8,5,5,7,4,3,
400,86,10,2024A,2,10,10,1,8,6,2,
401,86,6,2024B,6,2,4,3,10,7,7,
402,35,13,2024B,9,7,7,5,4,6,2,
403,96,11,2023A,6,6,8,7,2,6,7,
404,88,73,2023B,6,7,4,8,8,6,6,
405,14,48,2024A,2,9,9,4,9,7,9,
406,74,5,2024A,7,3,2,2,3,4,3,
407,111,58,2023B,7,9,10,1,2,6,7,
408,47,16,2023B,10,5,4,3,3,6,5,
409,70,26,2025A,3,3,5,6,2,4,6,
410,72,21,2024A,8,6,8,2,2,7,9,
411,63,69,2024A,9,3,10,9,10,9,8,
412,31,77,2024B,9,7,9,10,3,6,4,
413,48,2,2023B,7,2,3,6,8,6,8,
414,79,6,2023B,6,5,7,2,5,7,9,
415,116,7,2024B,6,7,10,6,10,8,8,
416,82,5,2024B,6,2,4,8,7,7,10,
417,41,2,2024B,7,10,5,9,4,6,10,
418,93,28,2024B,2,6,8,9,7,5,3,
419,57,31,2024A,3,7,10,5,7,7,8,
420,20,12,2023B,2,10,3,10,9,6,8,
421,102,21,2025A,4,3,5,6,6,5,4,
422,93,51,2024B,7,2,2,3,8,6,6,
423,109,57,2024A,4,9,3,5,3,5,9,
424,52,39,2024B,4,2,9,6,8,6,3,
425,60,54,2023A,3,3,9,8,2,5,6,
426,99,75,2023B,5,7,2,4,7,6,10,
427,44,23,2023B,7,5,4,2,10,6,5,
428,10,74,2025A,6,4,2,3,2,4,4,
429,7,46,2025A,8,7,6,2,6,7,7,
430,71,62,2023A,6,7,6,2,9,7,7,
431,111,3,2023A,8,10,6,9,3,6,7,
432,20,58,2024A,2,10,7,3,5,6,8,
433,43,29,2025A,4,1,7,10,5,5,5,
434,74,64,2024A,7,7,6,7,4,6,6,
435,4,40,2023B,10,6,9,5,10,10,9,
436,9,47,2023B,3,4,9,5,6,6,6,
437,88,25,2023A,10,8,2,3,6,5,3,
438,28,58,2024B,9,10,4,10,6,7,8,
439,1,64,2023A,8,10,2,8,2,4,2,
440,39,14,2023B,2,1,10,7,7,6,7,
441,5,58,2023A,6,1,7,1,5,6,8,
442,107,69,2023B,6,9,4,9,7,6,7,
443,22,72,2023B,6,5,7,2,7,6,4,
444,57,18,2023B,4,7,4,8,2,3,3,
445,18,6,2023B,8,2,8,4,8,7,5,
446,75,33,2024B,8,8,7,7,2,5,4,
447,54,36,2024B,8,3,9,6,9,8,8,
448,55,47,2023B,10,5,10,10,8,9,9,
449,113,56,2024B,9,8,8,1,6,8,9,
450,21,73,2025A,7,6,2,2,10,6,4,
451,24,73,2023A,10,5,4,3,4,6,8,
452,114,76,2023B,10,2,7,4,5,6,2,
453,73,52,2024B,9,7,2,3,7,6,6,
454,98,16,2025A,3,7,9,9,3,6,10,
455,48,58,2025A,6,2,3,8,5,4,4,
456,33,72,2023B,4,3,8,4,3,6,8,
457,22,69,2024A,2,7,7,4,9,6,7,
458,86,27,2023B,9,3,8,3,3,6,4,
459,89,50,2024A,4,5,3,7,5,5,8,
460,94,16,2025A,3,6,5,5,8,4,2,
461,116,52,2025A,10,10,10,3,5,7,3,
462,105,32,2023A,7,4,2,8,3,6,10,
463,16,66,2023B,5,5,4,4,3,5,9,
464,11,28,2023B,5,8,6,10,7,6,5,
465,104,21,2025A,9,10,9,8,5,8,7,
466,27,9,2025A,8,2,7,8,10,7,3,
467,73,75,2025A,2,4,4,8,3,3,3,
468,3,38,2025A,4,4,3,10,10,6,9,
469,7,37,2024B,6,4,9,10,10,8,9,
470,49,69,2024A,2,8,9,2,10,6,3,
471,94,28,2023A,10,4,6,6,9,9,10,
472,7,29,2023B,3,7,3,10,6,6,10,
473,109,47,2024A,10,10,3,3,6,7,8,
474,118,59,2024A,5,2,7,4,8,7,8,
475,89,57,2023B,6,7,5,8,10,6,2,
476,81,68,2023A,9,2,4,10,10,6,2,
477,16,56,2024B,8,3,7,2,7,6,2,
478,63,4,2024A,3,2,9,7,10,6,3,
479,87,39,2023B,7,10,10,4,2,7,10,
480,81,43,2023B,5,8,4,3,2,4,5,
481,106,76,2025A,5,1,8,1,8,6,4,
482,97,34,2024A,8,10,8,10,2,6,4,
483,95,70,2025A,3,9,6,7,10,6,4,
484,83,10,2023B,6,7,6,3,10,7,7,
485,30,35,2025A,9,5,5,3,2,6,6,
486,56,9,2024B,3,3,9,5,5,6,6,
487,14,4,2024B,7,5,8,1,2,6,7,
488,55,80,2023A,4,6,8,6,3,5,4,
489,1,64,2024B,6,2,3,10,4,4,2,
490,103,40,2023B,10,9,8,3,7,7,2,
491,114,30,2023A,7,5,3,4,2,5,7,
492,27,45,2024A,3,6,9,3,4,5,3,
493,38,69,2025A,10,10,6,2,10,8,4,
494,19,11,2024A,6,7,5,8,3,4,4,
495,90,28,2023A,9,8,4,4,2,5,5,
496,58,47,2023A,3,6,10,10,7,7,8,
497,118,34,2025A,10,9,9,6,9,10,10,
498,98,27,2024A,3,5,4,2,2,4,5,
499,96,17,2023B,2,10,3,2,9,5,6,
500,15,76,2025A,3,4,8,2,5,5,5,
501,114,13,2024A,9,9,8,1,2,6,4,
502,32,25,2025A,4,1,7,8,2,6,9,
503,78,54,2023A,3,1,10,2,5,6,7,
504,101,61,2024B,7,3,5,2,4,5,3,
505,30,25,2025A,2,2,2,9,4,2,2,
506,99,76,2024A,4,6,4,6,9,7,10,
507,110,21,2023B,8,2,3,1,4,6,7,
508,37,46,2023A,10,10,2,10,5,7,10,
509,57,79,2023B,4,8,2,9,3,4,7,
510,52,32,2024A,7,6,10,9,9,8,7,
511,32,36,2025A,3,8,7,1,9,6,7,
512,6,4,2023B,8,4,8,7,2,6,4,
513,4,74,2024A,8,3,10,5,3,6,3,
514,72,73,2024A,2,2,9,8,7,7,10,
515,88,35,2024B,4,7,5,8,7,6,9,
516,71,79,2023A,7,4,4,9,6,6,9,
517,75,31,2025A,8,7,8,5,9,7,2,
518,25,48,2023A,2,5,4,10,7,6,9,
519,104,8,2024A,6,8,2,6,3,4,5,
520,21,22,2024B,7,10,8,5,10,7,3,
521,84,70,2024B,10,10,7,4,10,9,9,
522,52,62,2024A,2,4,10,9,8,7,7,
523,72,29,2024A,9,2,5,5,7,6,5,
524,21,1,2024A,8,7,6,2,8,6,3,
525,82,65,2023A,2,4,8,2,2,5,8,
526,27,55,2023B,5,3,6,7,6,7,10,
527,27,64,2025A,6,2,8,6,3,5,2,
528,14,38,2024B,6,2,6,6,4,5,5,
529,109,40,2024B,5,2,4,6,2,5,8,
530,96,71,2025A,10,1,5,4,6,8,10,
531,59,53,2024A,9,6,2,9,2,4,2,
532,83,49,2023B,7,1,4,6,7,5,3,
533,33,66,2024A,8,10,7,4,7,8,9,
534,114,30,2024A,3,10,9,5,10,8,10,
535,96,8,2025A,10,9,5,1,4,6,5,
536,89,40,2024A,3,2,5,3,5,4,5,
537,30,28,2024B,5,4,10,7,7,6,4,
538,1,60,2023B,9,10,10,6,10,9,6,
539,91,54,2024A,8,7,10,10,6,8,6,
540,81,32,2023B,5,3,8,5,4,6,6,
541,101,13,2025A,5,6,6,10,7,6,7,
542,58,45,2023B,8,4,9,10,2,6,7,
543,4,40,2024B,8,10,10,3,5,6,2,
544,17,27,2024A,5,5,6,4,8,7,10,
545,82,6,2024A,4,10,5,6,8,5,4,
546,116,52,2024B,5,5,7,7,6,5,3,
547,95,47,2025A,7,3,8,2,6,6,4,
548,54,60,2025A,6,1,4,2,5,6,9,
549,4,68,2025A,10,9,3,5,7,6,4,
550,81,22,2023B,2,2,8,7,9,7,9,
551,14,46,2023A,6,1,10,7,6,7,7,
552,82,13,2024A,6,1,10,6,8,7,5,
553,96,68,2023B,7,5,6,10,8,8,10,
